date,usd_mxn,udi,cetes_28d_carry,tiie_28d_carry,policy_rate_carry
2020-12-18,19.9487,6.600345,123.2599633382832,124.78500054790564,123.72547544129466
2020-12-21,20.0905,6.599023,123.3034175808335,124.83173836456271,123.76930005384526
2020-12-22,20.0562,6.598582,123.31790573239925,124.84732499411683,123.78391170732384
2020-12-23,20.1175,6.598142,123.33253260621805,124.86290385948735,123.79852508578928
2020-12-24,19.8517,6.597701,123.34716121494662,124.87847079518461,123.81314018944525
2020-12-28,20.0477,6.601428,123.40569300307442,124.94075239580793,123.87161786004796
2020-12-29,19.9487,6.602817,123.42033028943895,124.95632660765172,123.886241592712
2020-12-30,19.9352,6.604207,123.43486646167305,124.97189408334162,123.90086705178891
2020-12-31,19.9087,6.605597,123.44940434594523,124.9874607213263,123.91549423748252
2021-01-04,19.8457,6.611161,123.50757300744768,125.04969526272806,123.97402025050104
2021-01-05,19.9437,6.612552,123.52211945493524,125.06526047618563,123.98865607233616
2021-01-06,19.725,6.613944,123.5368048624704,125.0808283218869,124.00329362201137
2021-01-07,19.91,6.615336,123.55149201593738,125.09638559735616,124.01793289973064
2021-01-08,19.9705,6.616729,123.5661809155437,125.11194446031485,124.03257390569797
2021-01-11,20.113,6.620346,123.61025809327488,125.15863266095506,124.07650729512876
2021-01-12,19.9373,6.621179,123.62495397951486,125.17419057432055,124.09115521612888
2021-01-13,19.7935,6.622011,123.63934255054747,125.18973859961422,124.10580486639743
2021-01-14,19.7793,6.622843,123.65373279624987,125.20528299215701,124.12045624613862
2021-01-15,19.7875,6.623676,123.66812471681699,125.2208213155688,124.13510935555657
2021-01-18,19.757,6.626173,123.71131052965605,125.26744576932431,124.17907906391315
2021-01-19,19.6788,6.627006,123.72570915163159,125.28298415207661,124.1937390940804
2021-01-20,19.5793,6.627839,123.74010944944673,125.29852863833528,124.20840085494567
2021-01-21,19.7393,6.628672,123.75451142329655,125.31406461173202,124.22306434671326
2021-01-22,19.9833,6.629505,123.76891507337608,125.3295948533783,124.23772956958751
2021-01-25,20.1598,6.632006,123.81213608294416,125.37619712730006,124.2817356268941
2021-01-26,20.0152,6.63413,123.82654643989382,125.39172705891757,124.29640777623896
2021-01-27,20.2168,6.636256,123.84106166283762,125.40724950979643,124.31108165771253
2021-01-28,20.2697,6.638382,123.85557858728811,125.42276587009549,124.32575727151935
2021-01-29,20.2248,6.640509,123.87009721344472,125.43827648547474,124.3404346178639
